,Date,Symbol,LGBM_Prob_5.0%hit,Adj Close,Capitalization,Industry,Invest_Amount,Shares
20327,2020-12-09,GMDCLTD,0.09966926570654223,51.849998474121094,SMALLCAP,METALS,19933.853141308446,384.0
20328,2020-12-09,BIOCON,0.09934946714587582,450.95001220703125,LARGE,PHARMA,19869.893429175165,44.0
20329,2020-12-09,JSLHISAR,0.09918788275123742,128.35000610351562,SMALLCAP,METALS,19837.576550247486,155.0
20315,2020-12-08,DRREDDY,0.09987098687898434,5015.2001953125,LARGE,PHARMA,19974.197375796866,4.0
20310,2020-12-08,SCI,0.10096825434698506,70.05000305175781,SMALLCAP,SERVICES,20193.650869397014,288.0
20311,2020-12-08,GMDCLTD,0.10042432435988657,49.4000015258789,SMALLCAP,METALS,20084.864871977315,407.0
20312,2020-12-08,ABFRL,0.10027304602743072,159.64999389648438,MIDCAP,CONSUMER GOODS,20054.609205486144,126.0
20314,2020-12-08,NMDC,0.09995111620098485,107.8000030517578,LARGE,METALS,19990.22324019697,185.0
20313,2020-12-08,NFL,0.10026847845447842,36.849998474121094,SMALLCAP,FERTILISERS & PESTICIDES,20053.695690895685,544.0
20316,2020-12-08,BIOCON,0.0997607471506481,445.45001220703125,LARGE,PHARMA,19952.14943012962,45.0
20317,2020-12-08,FORTIS,0.09972714821344475,144.89999389648438,MIDCAP,HEALTHCARE SERVICES,19945.42964268895,138.0
20318,2020-12-08,RELIANCE,0.09943488088130925,1993.75,LARGE,OIL & GAS,19886.97617626185,10.0
20319,2020-12-08,COALINDIA,0.09932101748584803,134.25,LARGE,METALS,19864.203497169605,148.0
20304,2020-12-07,NMDC,0.10028619866345931,109.3499984741211,LARGE,METALS,20057.23973269186,183.0
20300,2020-12-07,COALINDIA,0.10059342665694626,136.80000305175778,LARGE,METALS,20118.685331389253,147.0
20301,2020-12-07,NFL,0.10045799929346706,37.54999923706055,SMALLCAP,FERTILISERS & PESTICIDES,20091.59985869341,535.0
20302,2020-12-07,JSWENERGY,0.10044930645934964,67.80000305175781,MIDCAP,POWER,20089.86129186993,296.0
20303,2020-12-07,GMDCLTD,0.10033671070130613,49.349998474121094,SMALLCAP,METALS,20067.342140261226,407.0
20305,2020-12-07,BLISSGVS,0.09992802984943977,172.10000610351562,SMALLCAP,PHARMA,19985.605969887954,116.0
20306,2020-12-07,PAGEIND,0.09987323507690292,24105.80078125,MIDCAP,TEXTILES,19974.647015380582,1.0
20307,2020-12-07,SEQUENT,0.09947082487625776,168.60000610351562,SMALLCAP,PHARMA,19894.16497525155,118.0
20308,2020-12-07,SCI,0.09934394924193701,71.30000305175781,SMALLCAP,SERVICES,19868.7898483874,279.0
20309,2020-12-07,HEG,0.09926031918093431,844.7999877929688,SMALLCAP,INDUSTRIAL MANUFACTURING,19852.063836186862,23.0
20294,2020-12-04,HINDCOPPER,0.10004613780640331,44.54999923706055,SMALLCAP,METALS,20009.227561280662,449.0
20290,2020-12-04,BLISSGVS,0.1011299058593233,171.6999969482422,SMALLCAP,PHARMA,20225.98117186466,118.0
20291,2020-12-04,COALINDIA,0.10084248456936168,133.30000305175778,LARGE,METALS,20168.496913872335,151.0
