,Momentum,Size_Factor,LGBM_Prob_2.0%hit,LGBM_Prob_5.0%hit,LGBM_Prob_7.5%hit,Benchmark NIFTY50,Benchmark NiftyMid
start,2012-09-02 00:00:00,2012-09-02 00:00:00,2012-09-02 00:00:00,2012-09-02 00:00:00,2012-09-02 00:00:00,2011-03-02 00:00:00,2011-03-02 00:00:00
end,2020-12-11 00:00:00,2020-12-11 00:00:00,2020-12-11 00:00:00,2020-12-11 00:00:00,2020-12-11 00:00:00,2020-12-11 00:00:00,2020-12-11 00:00:00
rf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_return,9.660645258331469,1.3588127174562592,11.54673530721256,15.69794163163191,12.93392829421579,1.4359768945312572,2.310827788625748
cagr,0.33113370815117427,0.10929000043058879,0.35760194794330213,0.40532096611982316,0.374918407944991,0.0953142512336913,0.13022629946650777
max_drawdown,-0.43421626862489215,-0.723188666461906,-0.5097615097647334,-0.45018425431334697,-0.5402884787967355,-0.3837976216739636,-0.9986440223788347
calmar,0.7626008790500474,0.15112239101488412,0.7015083349630371,0.9003446083160939,0.6939226406973613,0.24834508045664974,0.13040312318327435
mtd,0.012907588989059748,0.06400204804380327,0.026781987163353227,0.05453508408008201,0.0384750316237894,0.04195307938605053,0.036626711561806635
three_month,0.12162330237221264,0.10244105129250869,0.1602535832690084,0.18065129309158823,0.17184534482903913,0.17845995425018857,0.21898127248840105
six_month,0.4868472385040059,0.2312819188341959,0.4250034517878989,0.5174527705195346,0.557159979722291,0.3640480033452336,0.44352903363207186
ytd,0.45633898109839577,-0.12100669699111655,0.1721510660049601,0.3591223107990025,0.29913111936807035,0.11038897920793134,0.19498303727940258
one_year,0.5113372979503918,-0.06739049492372107,0.22860863133359133,0.425597840367401,0.3643098021968374,0.1344313211495236,0.22850696219900413
three_year,0.10686434770189357,-0.18047053512565603,0.05382408155983942,0.13595842470339226,0.055171990122390824,0.09377674236899347,0.005216564643440558
five_year,0.25949193502158563,-0.005267424844150992,0.20784685023060523,0.2770812335698294,0.22988492524132798,0.12139083874940493,3.5051479741744442
ten_year,0.33113370815117427,0.10929000043058879,0.35760194794330213,0.40532096611982316,0.374918407944991,0.0953142512336913,0.13022629946650777
incep,0.33113370815117427,0.10929000043058879,0.35760194794330213,0.40532096611982316,0.374918407944991,0.0953142512336913,0.13022629946650777
daily_sharpe,1.4867097895133201,0.596861380596288,1.7439228493923096,1.8794804666771772,1.7018893358648093,0.6240593436743512,0.3459350856034181
daily_sortino,2.1933622322849815,0.8742802172935743,2.515481575267905,2.780815162796667,2.4782074970788974,0.9806047664808266,300.7887458892473
daily_mean,0.31647627950808394,0.1305878683883975,0.33217343344813915,0.36870975806389417,0.34797120339510246,0.10928405258086228,110.20172779610294
daily_vol,0.21287024659445047,0.21879094984824635,0.1904748444370053,0.19617642460299345,0.20446170973759706,0.17511804556505328,318.56187007998034
daily_skew,-1.5532607992368432,-1.3900054039100003,-2.0954971733278427,-1.7080768769708146,-1.8378052297236447,-0.8150253260728503,45.89106972379202
daily_kurt,10.596826289042257,9.558992298696166,18.184976964452236,13.587009011048703,13.836246266631118,14.088747160382542,2105.9935207897133
best_day,0.05090192333212906,0.054429644985099834,0.061668625352738315,0.059985914968240905,0.060222659693301095,0.08742278485433275,920.9210139080011
worst_day,-0.1258470852718081,-0.1288865313520552,-0.13125464981030244,-0.12281297814708625,-0.1250484906889301,-0.12951801247809258,-0.9985327350338137
monthly_sharpe,1.2602181027840005,0.4757040225699717,1.272309473903175,1.4182090269631404,1.27539237402568,0.5821399411649716,0.5460454443043251
monthly_sortino,2.2383331121713037,0.7897376701789889,2.061308120043046,2.4528682758269533,2.1762341380282386,0.9937856528776992,0.8996218039345908
monthly_mean,0.31044586162881493,0.14328386289084077,0.3318288930925355,0.3673322727511622,0.3485027220258421,0.10174510094863401,0.12402269380008912
monthly_vol,0.24634296312915674,0.30120380760447535,0.26080831739353083,0.25901137686152187,0.27325137669266397,0.17477773599424035,0.2271288866041122
monthly_skew,-0.8972895531844128,-0.7434693594129937,-1.5242500376107417,-1.173592082511488,-1.1942895416753039,-0.6566978715920239,-0.84714618223078
monthly_kurt,2.394643611184824,3.290269167327267,7.542860834648245,5.184104499057121,4.269761519459984,3.757411355517296,4.330479615374572
best_month,0.18165814036884842,0.20862161041326677,0.24143266279804676,0.24952752081801144,0.21425040057394118,0.14647034449041474,0.1616702703840338
worst_month,-0.265947695767092,-0.3787721448570074,-0.37097260922485875,-0.33111491032946483,-0.3415388841202488,-0.2320626993866487,-0.3027815395085385
yearly_sharpe,0.7623037391878088,0.33598878409189475,0.8625891612168651,1.0066886215178779,0.834474060005776,1.031701786169131,0.7566267579657944
yearly_sortino,6.18917114571885,1.5317070604111243,13.846211287838253,13.133556811187926,9.31238159469758,9.81755794628151,3.794173783717695
yearly_mean,0.3785804931890433,0.15766181915970215,0.39277296485684704,0.44864542293489296,0.4269325514259663,0.1325830914958587,0.1961451910309094
yearly_vol,0.4966268348524687,0.4692472684343558,0.4553418736478875,0.4456645414929083,0.5116187211655342,0.1285091227651745,0.2592363922712032
yearly_skew,0.9614747660976125,1.4968484367985189,1.1322588452810078,0.7377960874037564,0.9977061565107703,0.36424714053898755,0.04378116438212555
yearly_kurt,-0.5153786986750859,1.6764415871506246,0.23797653234468985,-0.670782518511368,-0.16766756368960767,-1.4672977897107211,-1.7281030784334872
best_year,1.1899580668637726,1.1147369381420749,1.2337361660082244,1.1143782231490302,1.3087318789698816,0.3129193414865201,0.5588309652604861
