,Date,Symbol,Momentum,Adj Close,Capitalization,Industry,Invest_Amount,Shares
20349,2020-12-11,TATACOMM,0.09875173370319001,1036.449951171875,MIDCAP,TELECOM,19750.346740638004,19.0
20348,2020-12-11,NAVINFLUOR,0.09902912621359224,2536.89990234375,MIDCAP,CHEMICALS,19805.82524271845,8.0
20347,2020-12-11,DIXON,0.09930651872399446,12630.599609375,SMALLCAP,CONSUMER GOODS,19861.30374479889,2.0
20346,2020-12-11,GRANULES,0.09958391123439667,387.6000061035156,SMALLCAP,PHARMA,19916.782246879335,51.0
20345,2020-12-11,ALKYLAMINE,0.09986130374479889,3872.75,SMALLCAP,CHEMICALS,19972.260748959776,5.0
20344,2020-12-11,LAURUSLABS,0.10069348127600555,328.95001220703125,SMALLCAP,PHARMA,20138.69625520111,61.0
20343,2020-12-11,IOLCP,0.10069348127600555,768.0,SMALLCAP,PHARMA,20138.69625520111,26.0
20342,2020-12-11,ALOKINDS,0.10069348127600555,24.0,SMALLCAP,TEXTILES,20138.69625520111,839.0
20341,2020-12-11,AARTIDRUGS,0.10069348127600555,787.4500122070312,SMALLCAP,PHARMA,20138.69625520111,26.0
20340,2020-12-11,ADANIGREEN,0.10069348127600555,1041.5,LARGE,POWER,20138.69625520111,19.0
20335,2020-12-10,ALKYLAMINE,0.09986130374479889,3837.35009765625,SMALLCAP,CHEMICALS,19972.260748959776,5.0
20330,2020-12-10,ADANIGREEN,0.10069348127600555,1036.699951171875,LARGE,POWER,20138.69625520111,19.0
20331,2020-12-10,AARTIDRUGS,0.10069348127600555,766.7999877929688,SMALLCAP,PHARMA,20138.69625520111,26.0
20332,2020-12-10,ALOKINDS,0.10069348127600555,24.04999923706055,SMALLCAP,TEXTILES,20138.69625520111,837.0
20334,2020-12-10,LAURUSLABS,0.10069348127600555,330.3999938964844,SMALLCAP,PHARMA,20138.69625520111,61.0
20333,2020-12-10,IOLCP,0.10069348127600555,771.2999877929688,SMALLCAP,PHARMA,20138.69625520111,26.0
20336,2020-12-10,GRANULES,0.09958391123439667,390.45001220703125,SMALLCAP,PHARMA,19916.782246879335,51.0
20337,2020-12-10,DIXON,0.09930651872399446,12095.0,SMALLCAP,CONSUMER GOODS,19861.30374479889,2.0
20338,2020-12-10,NAVINFLUOR,0.09902912621359224,2554.449951171875,MIDCAP,CHEMICALS,19805.82524271845,8.0
20339,2020-12-10,BSOFT,0.09875173370319001,205.3999938964844,SMALLCAP,IT,19750.346740638004,96.0
20324,2020-12-09,LAURUSLABS,0.10069348127600555,328.45001220703125,SMALLCAP,PHARMA,20138.69625520111,61.0
20320,2020-12-09,ADANIGREEN,0.10069348127600555,1070.0999755859377,LARGE,POWER,20138.69625520111,19.0
20321,2020-12-09,AARTIDRUGS,0.10069348127600555,781.25,SMALLCAP,PHARMA,20138.69625520111,26.0
20322,2020-12-09,ALOKINDS,0.10069348127600555,24.54999923706055,SMALLCAP,TEXTILES,20138.69625520111,820.0
20323,2020-12-09,IOLCP,0.10069348127600555,781.0999755859375,SMALLCAP,PHARMA,20138.69625520111,26.0
20325,2020-12-09,ALKYLAMINE,0.09986130374479889,3882.25,SMALLCAP,CHEMICALS,19972.260748959776,5.0
20326,2020-12-09,GRANULES,0.09958391123439667,391.5,SMALLCAP,PHARMA,19916.782246879335,51.0
20327,2020-12-09,DIXON,0.09930651872399446,11852.5,SMALLCAP,CONSUMER GOODS,19861.30374479889,2.0
20328,2020-12-09,NAVINFLUOR,0.09902912621359224,2550.10009765625,MIDCAP,CHEMICALS,19805.82524271845,8.0
20329,2020-12-09,BSOFT,0.09875173370319001,206.25,SMALLCAP,IT,19750.346740638004,96.0
20315,2020-12-08,GRANULES,0.09986130374479889,386.3500061035156,SMALLCAP,PHARMA,19972.260748959776,52.0
20310,2020-12-08,ADANIGREEN,0.10069348127600555,1098.6500244140623,LARGE,POWER,20138.69625520111,18.0
20311,2020-12-08,AARTIDRUGS,0.10069348127600555,789.9500122070312,SMALLCAP,PHARMA,20138.69625520111,25.0
20312,2020-12-08,ALOKINDS,0.10069348127600555,24.149999618530273,SMALLCAP,TEXTILES,20138.69625520111,834.0
20314,2020-12-08,LAURUSLABS,0.10069348127600555,332.6499938964844,SMALLCAP,PHARMA,20138.69625520111,61.0
20313,2020-12-08,IOLCP,0.10069348127600555,781.0999755859375,SMALLCAP,PHARMA,20138.69625520111,26.0
20316,2020-12-08,ALKYLAMINE,0.09958391123439667,3902.39990234375,SMALLCAP,CHEMICALS,19916.782246879335,5.0
20317,2020-12-08,DIXON,0.09930651872399446,11814.2998046875,SMALLCAP,CONSUMER GOODS,19861.30374479889,2.0
20318,2020-12-08,NAVINFLUOR,0.09902912621359224,2546.35009765625,MIDCAP,CHEMICALS,19805.82524271845,8.0
20319,2020-12-08,BSOFT,0.09875173370319001,201.0,SMALLCAP,IT,19750.346740638004,98.0
20304,2020-12-07,LAURUSLABS,0.10069348127600555,332.04998779296875,SMALLCAP,PHARMA,20138.69625520111,61.0
20300,2020-12-07,ADANIGREEN,0.10069348127600555,1106.25,LARGE,POWER,20138.69625520111,18.0
20301,2020-12-07,AARTIDRUGS,0.10069348127600555,791.0499877929688,SMALLCAP,PHARMA,20138.69625520111,25.0
20302,2020-12-07,ALOKINDS,0.10069348127600555,24.5,SMALLCAP,TEXTILES,20138.69625520111,822.0
20303,2020-12-07,IOLCP,0.10069348127600555,792.6500244140625,SMALLCAP,PHARMA,20138.69625520111,25.0
20305,2020-12-07,GRANULES,0.09986130374479889,393.5,SMALLCAP,PHARMA,19972.260748959776,51.0
20306,2020-12-07,ALKYLAMINE,0.09958391123439667,3896.949951171875,SMALLCAP,CHEMICALS,19916.782246879335,5.0
20307,2020-12-07,NAVINFLUOR,0.09930651872399446,2580.050048828125,MIDCAP,CHEMICALS,19861.30374479889,8.0
20308,2020-12-07,DIXON,0.09902912621359224,11523.0,SMALLCAP,CONSUMER GOODS,19805.82524271845,2.0
20309,2020-12-07,BSOFT,0.09875173370319001,192.0500030517578,SMALLCAP,IT,19750.346740638004,103.0
20294,2020-12-04,LAURUSLABS,0.10069348127600555,331.6499938964844,SMALLCAP,PHARMA,20138.69625520111,61.0
20290,2020-12-04,ADANIGREEN,0.10069348127600555,1129.75,LARGE,POWER,20138.69625520111,18.0
20291,2020-12-04,AARTIDRUGS,0.10069348127600555,752.0,SMALLCAP,PHARMA,20138.69625520111,27.0
20292,2020-12-04,ALOKINDS,0.10069348127600555,22.299999237060547,SMALLCAP,TEXTILES,20138.69625520111,903.0
20293,2020-12-04,IOLCP,0.10069348127600555,781.5999755859375,SMALLCAP,PHARMA,20138.69625520111,26.0
20295,2020-12-04,GRANULES,0.09986130374479889,422.0499877929688,SMALLCAP,PHARMA,19972.260748959776,47.0
20297,2020-12-04,ALKYLAMINE,0.09930651872399446,3965.60009765625,SMALLCAP,CHEMICALS,19861.30374479889,5.0
20298,2020-12-04,NAVINFLUOR,0.09902912621359224,2561.89990234375,MIDCAP,CHEMICALS,19805.82524271845,8.0
20299,2020-12-04,BSOFT,0.09875173370319001,188.25,SMALLCAP,IT,19750.346740638004,105.0
20296,2020-12-04,DIXON,0.09958391123439667,11382.2001953125,SMALLCAP,CONSUMER GOODS,19916.782246879335,2.0
20285,2020-12-03,GRANULES,0.09986130374479889,419.45001220703125,SMALLCAP,PHARMA,19972.260748959776,48.0
20289,2020-12-03,NAVINFLUOR,0.09875173370319001,2627.050048828125,MIDCAP,CHEMICALS,19750.346740638004,8.0
20288,2020-12-03,BSOFT,0.09902912621359224,188.0500030517578,SMALLCAP,IT,19805.82524271845,105.0
20287,2020-12-03,ALKYLAMINE,0.09930651872399446,4021.64990234375,SMALLCAP,CHEMICALS,19861.30374479889,5.0
20286,2020-12-03,DIXON,0.09958391123439667,11429.5,SMALLCAP,CONSUMER GOODS,19916.782246879335,2.0
20284,2020-12-03,LAURUSLABS,0.10069348127600555,319.8500061035156,SMALLCAP,PHARMA,20138.69625520111,63.0
20283,2020-12-03,IOLCP,0.10069348127600555,776.9500122070312,SMALLCAP,PHARMA,20138.69625520111,26.0
20282,2020-12-03,ALOKINDS,0.10069348127600555,22.100000381469727,SMALLCAP,TEXTILES,20138.69625520111,911.0
20281,2020-12-03,AARTIDRUGS,0.10069348127600555,742.4500122070312,SMALLCAP,PHARMA,20138.69625520111,27.0
20280,2020-12-03,ADANIGREEN,0.10069348127600555,1145.0,LARGE,POWER,20138.69625520111,18.0
20271,2020-12-02,AARTIDRUGS,0.10069348127600555,717.0,SMALLCAP,PHARMA,20138.69625520111,28.0
20272,2020-12-02,ALOKINDS,0.10069348127600555,21.799999237060547,SMALLCAP,TEXTILES,20138.69625520111,924.0
20275,2020-12-02,GRANULES,0.09986130374479889,422.0499877929688,SMALLCAP,PHARMA,19972.260748959776,47.0
20270,2020-12-02,ADANIGREEN,0.10069348127600555,1146.0,LARGE,POWER,20138.69625520111,18.0
20274,2020-12-02,LAURUSLABS,0.10069348127600555,321.1499938964844,SMALLCAP,PHARMA,20138.69625520111,63.0
20273,2020-12-02,IOLCP,0.10069348127600555,773.2999877929688,SMALLCAP,PHARMA,20138.69625520111,26.0
20276,2020-12-02,DIXON,0.09958391123439667,11399.5,SMALLCAP,CONSUMER GOODS,19916.782246879335,2.0
20277,2020-12-02,ALKYLAMINE,0.09930651872399446,4116.0498046875,SMALLCAP,CHEMICALS,19861.30374479889,5.0
20278,2020-12-02,BSOFT,0.09902912621359224,190.4499969482422,SMALLCAP,IT,19805.82524271845,104.0
20279,2020-12-02,NAVINFLUOR,0.09875173370319001,2649.199951171875,MIDCAP,CHEMICALS,19750.346740638004,7.0
20264,2020-12-01,LAURUSLABS,0.10069348127600555,322.8999938964844,SMALLCAP,PHARMA,20138.69625520111,62.0
20260,2020-12-01,ADANIGREEN,0.10069348127600555,1134.699951171875,LARGE,POWER,20138.69625520111,18.0
20261,2020-12-01,AARTIDRUGS,0.10069348127600555,705.0499877929688,SMALLCAP,PHARMA,20138.69625520111,29.0
20262,2020-12-01,ALOKINDS,0.10069348127600555,21.649999618530273,SMALLCAP,TEXTILES,20138.69625520111,930.0
20263,2020-12-01,IOLCP,0.10069348127600555,785.1500244140625,SMALLCAP,PHARMA,20138.69625520111,26.0
20265,2020-12-01,GRANULES,0.09986130374479889,428.0,SMALLCAP,PHARMA,19972.260748959776,47.0
20266,2020-12-01,ALKYLAMINE,0.09958391123439667,3967.10009765625,SMALLCAP,CHEMICALS,19916.782246879335,5.0
20267,2020-12-01,DIXON,0.09930651872399446,11534.5,SMALLCAP,CONSUMER GOODS,19861.30374479889,2.0
20268,2020-12-01,NAVINFLUOR,0.09902912621359224,2682.550048828125,MIDCAP,CHEMICALS,19805.82524271845,7.0
20269,2020-12-01,JBCHEPHARM,0.09875173370319001,1005.5499877929688,SMALLCAP,PHARMA,19750.346740638004,20.0
20254,2020-11-27,LAURUSLABS,0.10069348127600555,316.8500061035156,SMALLCAP,PHARMA,20138.69625520111,64.0
20250,2020-11-27,ADANIGREEN,0.10069348127600555,1136.4000244140625,LARGE,POWER,20138.69625520111,18.0
20251,2020-11-27,AARTIDRUGS,0.10069348127600555,715.0499877929688,SMALLCAP,PHARMA,20138.69625520111,28.0
20252,2020-11-27,ALOKINDS,0.10069348127600555,21.950000762939453,SMALLCAP,TEXTILES,20138.69625520111,917.0
20253,2020-11-27,IOLCP,0.10069348127600555,781.5499877929688,SMALLCAP,PHARMA,20138.69625520111,26.0
20255,2020-11-27,GRANULES,0.09986130374479889,412.5499877929688,SMALLCAP,PHARMA,19972.260748959776,48.0
20257,2020-11-27,DIXON,0.09930651872399446,11879.7998046875,SMALLCAP,CONSUMER GOODS,19861.30374479889,2.0
20258,2020-11-27,BSOFT,0.09902912621359224,197.6000061035156,SMALLCAP,IT,19805.82524271845,100.0
20259,2020-11-27,JBCHEPHARM,0.09875173370319001,994.7000122070312,SMALLCAP,PHARMA,19750.346740638004,20.0
20256,2020-11-27,ALKYLAMINE,0.09958391123439667,4015.0,SMALLCAP,CHEMICALS,19916.782246879335,5.0
20245,2020-11-26,GRANULES,0.09986130374479889,412.8999938964844,SMALLCAP,PHARMA,19972.260748959776,48.0
20249,2020-11-26,JBCHEPHARM,0.09875173370319001,954.8499755859376,SMALLCAP,PHARMA,19750.346740638004,21.0
20248,2020-11-26,BSOFT,0.09902912621359224,186.1499938964844,SMALLCAP,IT,19805.82524271845,106.0
20247,2020-11-26,ALKYLAMINE,0.09930651872399446,3681.800048828125,SMALLCAP,CHEMICALS,19861.30374479889,5.0
20246,2020-11-26,DIXON,0.09958391123439667,11377.7998046875,SMALLCAP,CONSUMER GOODS,19916.782246879335,2.0
20244,2020-11-26,LAURUSLABS,0.10069348127600555,292.3500061035156,SMALLCAP,PHARMA,20138.69625520111,69.0
20243,2020-11-26,IOLCP,0.10069348127600555,743.5499877929688,SMALLCAP,PHARMA,20138.69625520111,27.0
20242,2020-11-26,ALOKINDS,0.10069348127600555,22.399999618530273,SMALLCAP,TEXTILES,20138.69625520111,899.0
20241,2020-11-26,AARTIDRUGS,0.10069348127600555,685.5999755859375,SMALLCAP,PHARMA,20138.69625520111,29.0
20240,2020-11-26,ADANIGREEN,0.10069348127600555,1104.449951171875,LARGE,POWER,20138.69625520111,18.0
20231,2020-11-25,AARTIDRUGS,0.10069348127600555,681.3499755859375,SMALLCAP,PHARMA,20138.69625520111,30.0
20232,2020-11-25,ALOKINDS,0.10069348127600555,21.350000381469727,SMALLCAP,TEXTILES,20138.69625520111,943.0
20234,2020-11-25,LAURUSLABS,0.10069348127600555,285.45001220703125,SMALLCAP,PHARMA,20138.69625520111,71.0
20230,2020-11-25,ADANIGREEN,0.10069348127600555,1144.9000244140625,LARGE,POWER,20138.69625520111,18.0
20233,2020-11-25,IOLCP,0.10069348127600555,730.1500244140625,SMALLCAP,PHARMA,20138.69625520111,28.0
20235,2020-11-25,GRANULES,0.09986130374479889,414.25,SMALLCAP,PHARMA,19972.260748959776,48.0
20236,2020-11-25,DIXON,0.09958391123439667,10909.900390625,SMALLCAP,CONSUMER GOODS,19916.782246879335,2.0
20237,2020-11-25,ALKYLAMINE,0.09930651872399446,3671.75,SMALLCAP,CHEMICALS,19861.30374479889,5.0
20238,2020-11-25,TATACOMM,0.09902912621359224,1026.550048828125,MIDCAP,TELECOM,19805.82524271845,19.0
20239,2020-11-25,BSOFT,0.09875173370319001,187.9499969482422,SMALLCAP,IT,19750.346740638004,105.0
20225,2020-11-24,DIXON,0.09986130374479889,10869.7998046875,SMALLCAP,CONSUMER GOODS,19972.260748959776,2.0
20220,2020-11-24,ADANIGREEN,0.10069348127600555,1205.1500244140625,LARGE,POWER,20138.69625520111,17.0
20221,2020-11-24,AARTIDRUGS,0.10069348127600555,704.7000122070312,SMALLCAP,PHARMA,20138.69625520111,29.0
20222,2020-11-24,ALOKINDS,0.10069348127600555,22.100000381469727,SMALLCAP,TEXTILES,20138.69625520111,911.0
20223,2020-11-24,IOLCP,0.10069348127600555,739.2000122070312,SMALLCAP,PHARMA,20138.69625520111,27.0
20224,2020-11-24,LAURUSLABS,0.10069348127600555,289.70001220703125,SMALLCAP,PHARMA,20138.69625520111,70.0
20226,2020-11-24,GRANULES,0.09958391123439667,418.6499938964844,SMALLCAP,PHARMA,19916.782246879335,48.0
20227,2020-11-24,ALKYLAMINE,0.09930651872399446,3728.949951171875,SMALLCAP,CHEMICALS,19861.30374479889,5.0
20228,2020-11-24,BSOFT,0.09902912621359224,193.0500030517578,SMALLCAP,IT,19805.82524271845,103.0
20229,2020-11-24,JBCHEPHARM,0.09875173370319001,979.9000244140624,SMALLCAP,PHARMA,19750.346740638004,20.0
20214,2020-11-23,LAURUSLABS,0.10069348127600555,290.3999938964844,SMALLCAP,PHARMA,20138.69625520111,69.0
20210,2020-11-23,ADANIGREEN,0.10069348127600555,1180.300048828125,LARGE,POWER,20138.69625520111,17.0
20211,2020-11-23,AARTIDRUGS,0.10069348127600555,711.7000122070312,SMALLCAP,PHARMA,20138.69625520111,28.0
20212,2020-11-23,ALOKINDS,0.10069348127600555,22.25,SMALLCAP,TEXTILES,20138.69625520111,905.0
20213,2020-11-23,IOLCP,0.10069348127600555,719.0999755859375,SMALLCAP,PHARMA,20138.69625520111,28.0
20215,2020-11-23,DIXON,0.09986130374479889,10709.2998046875,SMALLCAP,CONSUMER GOODS,19972.260748959776,2.0
20216,2020-11-23,ALKYLAMINE,0.09958391123439667,3746.60009765625,SMALLCAP,CHEMICALS,19916.782246879335,5.0
20217,2020-11-23,GRANULES,0.09930651872399446,398.6000061035156,SMALLCAP,PHARMA,19861.30374479889,50.0
20218,2020-11-23,BSOFT,0.09902912621359224,193.0,SMALLCAP,IT,19805.82524271845,103.0
20219,2020-11-23,JBCHEPHARM,0.09875173370319001,958.5999755859376,SMALLCAP,PHARMA,19750.346740638004,21.0
20209,2020-11-20,JBCHEPHARM,0.09875173370319001,937.75,SMALLCAP,PHARMA,19750.346740638004,21.0
20208,2020-11-20,BSOFT,0.09902912621359224,182.8000030517578,SMALLCAP,IT,19805.82524271845,108.0
20207,2020-11-20,GRANULES,0.09930651872399446,373.8500061035156,SMALLCAP,PHARMA,19861.30374479889,53.0
20206,2020-11-20,DIXON,0.09958391123439667,10354.0,SMALLCAP,CONSUMER GOODS,19916.782246879335,2.0
20205,2020-11-20,ALKYLAMINE,0.09986130374479889,3424.449951171875,SMALLCAP,CHEMICALS,19972.260748959776,6.0
20204,2020-11-20,LAURUSLABS,0.10069348127600555,282.8500061035156,SMALLCAP,PHARMA,20138.69625520111,71.0
20203,2020-11-20,IOLCP,0.10069348127600555,697.5499877929688,SMALLCAP,PHARMA,20138.69625520111,29.0
20202,2020-11-20,ALOKINDS,0.10069348127600555,22.149999618530273,SMALLCAP,TEXTILES,20138.69625520111,909.0
20201,2020-11-20,AARTIDRUGS,0.10069348127600555,677.8499755859375,SMALLCAP,PHARMA,20138.69625520111,30.0
20200,2020-11-20,ADANIGREEN,0.10069348127600555,1134.550048828125,LARGE,POWER,20138.69625520111,18.0
20191,2020-11-19,AARTIDRUGS,0.10069348127600555,668.4000244140625,SMALLCAP,PHARMA,20138.69625520111,30.0
20192,2020-11-19,ALOKINDS,0.10069348127600555,22.25,SMALLCAP,TEXTILES,20138.69625520111,905.0
20195,2020-11-19,DIXON,0.09986130374479889,10098.5,SMALLCAP,CONSUMER GOODS,19972.260748959776,2.0
20190,2020-11-19,ADANIGREEN,0.10069348127600555,1083.5,LARGE,POWER,20138.69625520111,19.0
20194,2020-11-19,LAURUSLABS,0.10069348127600555,268.5,SMALLCAP,PHARMA,20138.69625520111,75.0
20193,2020-11-19,IOLCP,0.10069348127600555,662.0,SMALLCAP,PHARMA,20138.69625520111,30.0
20196,2020-11-19,ALKYLAMINE,0.09958391123439667,3357.050048828125,SMALLCAP,CHEMICALS,19916.782246879335,6.0
20197,2020-11-19,GRANULES,0.09930651872399446,377.95001220703125,SMALLCAP,PHARMA,19861.30374479889,53.0
20198,2020-11-19,BSOFT,0.09902912621359224,183.25,SMALLCAP,IT,19805.82524271845,108.0
20199,2020-11-19,TATACOMM,0.09875173370319001,1017.0499877929688,MIDCAP,TELECOM,19750.346740638004,19.0
20184,2020-11-18,LAURUSLABS,0.10069348127600555,271.29998779296875,SMALLCAP,PHARMA,20138.69625520111,74.0
20180,2020-11-18,ADANIGREEN,0.10069348127600555,1080.949951171875,LARGE,POWER,20138.69625520111,19.0
20181,2020-11-18,AARTIDRUGS,0.10069348127600555,659.5,SMALLCAP,PHARMA,20138.69625520111,31.0
20182,2020-11-18,ALOKINDS,0.10069348127600555,22.95000076293945,SMALLCAP,TEXTILES,20138.69625520111,878.0
20183,2020-11-18,IOLCP,0.10069348127600555,664.0499877929688,SMALLCAP,PHARMA,20138.69625520111,30.0
20185,2020-11-18,GRANULES,0.09986130374479889,391.45001220703125,SMALLCAP,PHARMA,19972.260748959776,51.0
20186,2020-11-18,ALKYLAMINE,0.09958391123439667,3304.85009765625,SMALLCAP,CHEMICALS,19916.782246879335,6.0
20187,2020-11-18,DIXON,0.09930651872399446,10211.2001953125,SMALLCAP,CONSUMER GOODS,19861.30374479889,2.0
20188,2020-11-18,BSOFT,0.09902912621359224,185.0500030517578,SMALLCAP,IT,19805.82524271845,107.0
20189,2020-11-18,JBCHEPHARM,0.09875173370319001,942.7000122070312,SMALLCAP,PHARMA,19750.346740638004,21.0
20174,2020-11-17,LAURUSLABS,0.10069348127600555,279.45001220703125,SMALLCAP,PHARMA,20138.69625520111,72.0
20170,2020-11-17,ADANIGREEN,0.10069348127600555,1058.449951171875,LARGE,POWER,20138.69625520111,19.0
20171,2020-11-17,AARTIDRUGS,0.10069348127600555,682.5,SMALLCAP,PHARMA,20138.69625520111,30.0
20172,2020-11-17,ALOKINDS,0.10069348127600555,24.149999618530273,SMALLCAP,TEXTILES,20138.69625520111,834.0
20173,2020-11-17,IOLCP,0.10069348127600555,674.1500244140625,SMALLCAP,PHARMA,20138.69625520111,30.0
20175,2020-11-17,ALKYLAMINE,0.09986130374479889,3308.449951171875,SMALLCAP,CHEMICALS,19972.260748959776,6.0
20177,2020-11-17,BSOFT,0.09930651872399446,183.3999938964844,SMALLCAP,IT,19861.30374479889,108.0
20178,2020-11-17,DIXON,0.09902912621359224,10097.2001953125,SMALLCAP,CONSUMER GOODS,19805.82524271845,2.0
20179,2020-11-17,JBCHEPHARM,0.09875173370319001,956.0,SMALLCAP,PHARMA,19750.346740638004,21.0
20176,2020-11-17,GRANULES,0.09958391123439667,386.3500061035156,SMALLCAP,PHARMA,19916.782246879335,52.0
20165,2020-11-13,GRANULES,0.09986130374479889,376.6499938964844,SMALLCAP,PHARMA,19972.260748959776,53.0
20169,2020-11-13,SOLARA,0.09875173370319001,1059.500732421875,SMALLCAP,PHARMA,19750.346740638004,19.0
20168,2020-11-13,DIXON,0.09902912621359224,10598.7998046875,SMALLCAP,CONSUMER GOODS,19805.82524271845,2.0
20167,2020-11-13,BSOFT,0.09930651872399446,181.3500061035156,SMALLCAP,IT,19861.30374479889,110.0
20166,2020-11-13,ALKYLAMINE,0.09958391123439667,3368.89990234375,SMALLCAP,CHEMICALS,19916.782246879335,6.0
20164,2020-11-13,LAURUSLABS,0.10069348127600555,284.0,SMALLCAP,PHARMA,20138.69625520111,71.0
20163,2020-11-13,IOLCP,0.10069348127600555,671.5999755859375,SMALLCAP,PHARMA,20138.69625520111,30.0
20162,2020-11-13,ALOKINDS,0.10069348127600555,25.75,SMALLCAP,TEXTILES,20138.69625520111,782.0
20161,2020-11-13,AARTIDRUGS,0.10069348127600555,692.3499755859375,SMALLCAP,PHARMA,20138.69625520111,29.0
20160,2020-11-13,ADANIGREEN,0.10069348127600555,989.3499755859376,LARGE,POWER,20138.69625520111,20.0
20151,2020-11-12,AARTIDRUGS,0.10069348127600555,659.4000244140625,SMALLCAP,PHARMA,20138.69625520111,31.0
20152,2020-11-12,ALOKINDS,0.10069348127600555,24.54999923706055,SMALLCAP,TEXTILES,20138.69625520111,820.0
20154,2020-11-12,LAURUSLABS,0.10069348127600555,289.1000061035156,SMALLCAP,PHARMA,20138.69625520111,70.0
20150,2020-11-12,ADANIGREEN,0.10069348127600555,942.3499755859376,LARGE,POWER,20138.69625520111,21.0
20153,2020-11-12,IOLCP,0.10069348127600555,682.2999877929688,SMALLCAP,PHARMA,20138.69625520111,30.0
20155,2020-11-12,ALKYLAMINE,0.09986130374479889,3371.10009765625,SMALLCAP,CHEMICALS,19972.260748959776,6.0
20156,2020-11-12,GRANULES,0.09958391123439667,379.6499938964844,SMALLCAP,PHARMA,19916.782246879335,52.0
20157,2020-11-12,BSOFT,0.09930651872399446,177.0,SMALLCAP,IT,19861.30374479889,112.0
20158,2020-11-12,DIXON,0.09902912621359224,10107.2001953125,SMALLCAP,CONSUMER GOODS,19805.82524271845,2.0
20159,2020-11-12,SOLARA,0.09875173370319001,1063.8341064453123,SMALLCAP,PHARMA,19750.346740638004,19.0
20145,2020-11-11,GRANULES,0.09986130374479889,374.7999877929688,SMALLCAP,PHARMA,19972.260748959776,53.0
20140,2020-11-11,ADANIGREEN,0.10069348127600555,897.5499877929688,LARGE,POWER,20138.69625520111,22.0
20141,2020-11-11,AARTIDRUGS,0.10069348127600555,628.25,SMALLCAP,PHARMA,20138.69625520111,32.0
20142,2020-11-11,ALOKINDS,0.10069348127600555,25.75,SMALLCAP,TEXTILES,20138.69625520111,782.0
20143,2020-11-11,IOLCP,0.10069348127600555,665.6500244140625,SMALLCAP,PHARMA,20138.69625520111,30.0
20144,2020-11-11,LAURUSLABS,0.10069348127600555,282.25,SMALLCAP,PHARMA,20138.69625520111,71.0
20146,2020-11-11,ALKYLAMINE,0.09958391123439667,3286.25,SMALLCAP,CHEMICALS,19916.782246879335,6.0
20147,2020-11-11,DIXON,0.09930651872399446,9936.150390625,SMALLCAP,CONSUMER GOODS,19861.30374479889,2.0
20148,2020-11-11,BSOFT,0.09902912621359224,177.64999389648438,SMALLCAP,IT,19805.82524271845,111.0
20149,2020-11-11,SOLARA,0.09875173370319001,1035.9407958984377,SMALLCAP,PHARMA,19750.346740638004,19.0
20134,2020-11-10,IOLCP,0.10013869625520111,649.9000244140625,SMALLCAP,PHARMA,20027.73925104022,31.0
20130,2020-11-10,ADANIGREEN,0.10083217753120666,854.8499755859375,LARGE,POWER,20166.43550624133,24.0
20131,2020-11-10,AARTIDRUGS,0.10083217753120666,628.5,SMALLCAP,PHARMA,20166.43550624133,32.0
20132,2020-11-10,ALOKINDS,0.10083217753120666,24.54999923706055,SMALLCAP,TEXTILES,20166.43550624133,821.0
20133,2020-11-10,LAURUSLABS,0.10083217753120666,259.5,SMALLCAP,PHARMA,20166.43550624133,78.0
20135,2020-11-10,GRANULES,0.09986130374479889,371.5499877929688,SMALLCAP,PHARMA,19972.260748959776,54.0
20136,2020-11-10,ALKYLAMINE,0.09958391123439667,3286.75,SMALLCAP,CHEMICALS,19916.782246879335,6.0
20137,2020-11-10,BSOFT,0.09930651872399446,176.30755615234375,SMALLCAP,IT,19861.30374479889,113.0
20138,2020-11-10,DIXON,0.09902912621359224,9932.0498046875,SMALLCAP,CONSUMER GOODS,19805.82524271845,2.0
20139,2020-11-10,SOLARA,0.09875173370319001,975.4220581054688,SMALLCAP,PHARMA,19750.346740638004,20.0
20129,2020-11-09,INDIAMART,0.09875173370319001,5019.0498046875,SMALLCAP,CONSUMER GOODS,19750.346740638004,4.0
20128,2020-11-09,DIXON,0.09902912621359224,9752.849609375,SMALLCAP,CONSUMER GOODS,19805.82524271845,2.0
20127,2020-11-09,BSOFT,0.09930651872399446,183.2186584472656,SMALLCAP,IT,19861.30374479889,108.0
20126,2020-11-09,GRANULES,0.09958391123439667,385.1499938964844,SMALLCAP,PHARMA,19916.782246879335,52.0
20125,2020-11-09,ALKYLAMINE,0.09986130374479889,3269.5,SMALLCAP,CHEMICALS,19972.260748959776,6.0
20124,2020-11-09,LAURUSLABS,0.10069348127600555,263.39999389648443,SMALLCAP,PHARMA,20138.69625520111,76.0
20123,2020-11-09,IOLCP,0.10069348127600555,678.4000244140625,SMALLCAP,PHARMA,20138.69625520111,30.0
20122,2020-11-09,ALOKINDS,0.10069348127600555,23.399999618530273,SMALLCAP,TEXTILES,20138.69625520111,861.0
20121,2020-11-09,AARTIDRUGS,0.10069348127600555,648.5499877929688,SMALLCAP,PHARMA,20138.69625520111,31.0
20120,2020-11-09,ADANIGREEN,0.10069348127600555,899.3499755859375,LARGE,POWER,20138.69625520111,22.0
20111,2020-11-06,AARTIDRUGS,0.10069348127600555,658.7000122070312,SMALLCAP,PHARMA,20138.69625520111,31.0
20112,2020-11-06,ALOKINDS,0.10069348127600555,22.299999237060547,SMALLCAP,TEXTILES,20138.69625520111,903.0
