,LGBM_Prob_10_0.02,LGBM_Prob_10_0.05,Benchmark NIFTY50,Benchmark NiftyMid
start,2012-09-02 00:00:00,2012-09-02 00:00:00,2011-03-02 00:00:00,2011-03-02 00:00:00
end,2020-11-09 00:00:00,2020-11-09 00:00:00,2020-12-11 00:00:00,2020-12-11 00:00:00
rf,0.0,0.0,0.0,0.0
total_return,12.839701598366464,19.03610032471449,1.4359768945312572,2.310827788625748
cagr,0.37846846427101477,0.44220116801685827,0.0953142512336913,0.13022629946650777
max_drawdown,-0.41578458599279566,-0.41976943967229374,-0.3837976216739636,-0.9986440223788347
calmar,0.9102513104648197,1.053438212086322,0.24834508045664974,0.13040312318327435
mtd,0.029126885885665477,0.028992865897799813,0.04195307938605053,0.036626711561806635
three_month,0.11040485745946715,0.15267822441400036,0.17845995425018857,0.21898127248840105
six_month,0.4863331367308399,0.6111084572482688,0.3640480033452336,0.44352903363207186
ytd,0.2957434931275196,0.33808975159689014,0.11038897920793134,0.19498303727940258
one_year,0.34472167280457566,0.39401871281433576,0.1344313211495236,0.22850696219900413
three_year,0.08669293083203766,0.11091413252721849,0.09377674236899347,0.005216564643440558
five_year,0.2679887178396365,0.3197005724669526,0.12139083874940493,3.5051479741744442
ten_year,0.37846846427101477,0.44220116801685827,0.0953142512336913,0.13022629946650777
incep,0.37846846427101477,0.44220116801685827,0.0953142512336913,0.13022629946650777
daily_sharpe,1.862603072994767,2.033119266264756,0.6240593436743512,0.3459350856034181
daily_sortino,2.719272428797355,2.970791867874387,0.9806047664808266,300.7887458892473
daily_mean,0.3470962310618865,0.3950699407230544,0.10928405258086228,110.20172779610294
daily_vol,0.18635007967844242,0.19431714965196134,0.17511804556505328,318.56187007998034
daily_skew,-1.9623333340460263,-1.9380913280375363,-0.8150253260728503,45.89106972379202
daily_kurt,17.306781569185443,16.1085818497597,14.088747160382542,2105.9935207897133
best_day,0.05539437997528851,0.05772965057508039,0.08742278485433275,920.9210139080011
worst_day,-0.1284821219653447,-0.1299062343053956,-0.12951801247809258,-0.9985327350338137
monthly_sharpe,1.4300532851561711,1.5223988838418685,0.5821399411649716,0.5460454443043251
monthly_sortino,2.556970947495171,2.7573697282476908,0.9937856528776992,0.8996218039345908
monthly_mean,0.3457671167890508,0.39710787559388294,0.10174510094863401,0.12402269380008912
monthly_vol,0.24178617704534744,0.2608435146718949,0.17477773599424035,0.2271288866041122
monthly_skew,-0.901602509562397,-1.0322106055081355,-0.6566978715920239,-0.84714618223078
monthly_kurt,3.9718152322813247,3.6600049774856642,3.757411355517296,4.330479615374572
best_month,0.23094381554500742,0.1965398099289264,0.14647034449041474,0.1616702703840338
worst_month,-0.283951108057391,-0.30790174687146377,-0.2320626993866487,-0.3027815395085385
yearly_sharpe,0.9236973669399818,0.9963491914674124,1.031701786169131,0.7566267579657944
yearly_sortino,12.13246084910473,13.26732779055978,9.81755794628151,3.794173783717695
yearly_mean,0.4224585777596564,0.4993418999328854,0.1325830914958587,0.1961451910309094
yearly_vol,0.4573560485066383,0.501171581418619,0.1285091227651745,0.2592363922712032
yearly_skew,0.8873265012977254,0.6524752052480484,0.36424714053898755,0.04378116438212555
yearly_kurt,-0.16927188041876384,-0.7846841820847938,-1.4672977897107211,-1.7281030784334872
best_year,1.219613766416494,1.2619257294492368,0.3129193414865201,0.5588309652604861
worst_year,-0.09858501187596835,-0.1064534016637031,-0.04051407454521083,-0.1541627538322421
avg_drawdown,-0.022987844951224898,-0.025021025709477947,-0.031053612497812792,-0.057069886484012164
avg_drawdown_days,19.565573770491802,18.3671875,41.15,58.43859649122807
avg_up_month,0.05952258430086435,0.0677283668979817,0.042463304601474364,0.051514639156642665
avg_down_month,-0.051938470305584704,-0.05349778686340511,-0.032559184155569396,-0.04581852279843456
win_year_perc,0.75,0.875,0.8888888888888888,0.6666666666666666
twelve_month_win_perc,0.7727272727272727,0.8068181818181818,0.7570093457943925,0.4392523364485981
